Id,ParentId,Code,Name
1,,item 1,item name 1
2,23871,item 2,item name 2
3,2005,item 3,item name 3
4,12032,item 4,item name 4
5,9566,item 5,item name 5
6,,item 6,item name 6
7,,item 7,item name 7
8,,item 8,item name 8
9,,item 9,item name 9
10,,item 10,item name 10
11,17097,item 11,item name 11
12,8126,item 12,item name 12
13,,item 13,item name 13
14,,item 14,item name 14
15,,item 15,item name 15
16,4881,item 16,item name 16
17,19276,item 17,item name 17
18,,item 18,item name 18
19,1575,item 19,item name 19
20,20943,item 20,item name 20
21,11062,item 21,item name 21
22,18769,item 22,item name 22
23,19758,item 23,item name 23
24,13415,item 24,item name 24
25,18571,item 25,item name 25
26,,item 26,item name 26
27,,item 27,item name 27
28,12645,item 28,item name 28
29,,item 29,item name 29
30,,item 30,item name 30
31,,item 31,item name 31
32,,item 32,item name 32
33,,item 33,item name 33
34,,item 34,item name 34
35,,item 35,item name 35
36,20341,item 36,item name 36
37,21738,item 37,item name 37
38,17282,item 38,item name 38
39,,item 39,item name 39
40,,item 40,item name 40
41,,item 41,item name 41
42,,item 42,item name 42
43,6557,item 43,item name 43
44,,item 44,item name 44
45,7022,item 45,item name 45
46,23700,item 46,item name 46
47,17634,item 47,item name 47
48,,item 48,item name 48
49,20930,item 49,item name 49
50,,item 50,item name 50
51,18397,item 51,item name 51
52,,item 52,item name 52
53,,item 53,item name 53
54,,item 54,item name 54
55,21954,item 55,item name 55
56,11196,item 56,item name 56
57,634,item 57,item name 57
58,8937,item 58,item name 58
59,12076,item 59,item name 59
60,23601,item 60,item name 60
61,,item 61,item name 61
62,17936,item 62,item name 62
63,3911,item 63,item name 63
64,,item 64,item name 64
65,,item 65,item name 65
66,9532,item 66,item name 66
67,,item 67,item name 67
68,18207,item 68,item name 68
69,,item 69,item name 69
70,10873,item 70,item name 70
71,2432,item 71,item name 71
72,4284,item 72,item name 72
73,,item 73,item name 73
74,23493,item 74,item name 74
75,,item 75,item name 75
76,13169,item 76,item name 76
77,,item 77,item name 77
78,,item 78,item name 78
79,,item 79,item name 79
80,17146,item 80,item name 80
81,,item 81,item name 81
82,19684,item 82,item name 82
83,,item 83,item name 83
84,,item 84,item name 84
85,4952,item 85,item name 85
86,4602,item 86,item name 86
87,,item 87,item name 87
88,,item 88,item name 88
89,,item 89,item name 89
90,,item 90,item name 90
91,,item 91,item name 91
92,232,item 92,item name 92
93,16934,item 93,item name 93
94,,item 94,item name 94
95,,item 95,item name 95
96,17765,item 96,item name 96
97,,item 97,item name 97
98,19065,item 98,item name 98
99,15399,item 99,item name 99
100,,item 100,item name 100
101,9077,item 101,item name 101
102,22630,item 102,item name 102
103,18017,item 103,item name 103
104,10635,item 104,item name 104
105,17563,item 105,item name 105
106,,item 106,item name 106
107,19444,item 107,item name 107
108,,item 108,item name 108
109,14886,item 109,item name 109
110,,item 110,item name 110
111,22785,item 111,item name 111
112,16563,item 112,item name 112
113,516,item 113,item name 113
114,1307,item 114,item name 114
115,,item 115,item name 115
116,,item 116,item name 116
117,,item 117,item name 117
118,,item 118,item name 118
119,,item 119,item name 119
120,,item 120,item name 120
121,19232,item 121,item name 121
122,,item 122,item name 122
123,,item 123,item name 123
124,,item 124,item name 124
125,3313,item 125,item name 125
126,,item 126,item name 126
127,,item 127,item name 127
128,6453,item 128,item name 128
129,,item 129,item name 129
130,,item 130,item name 130
131,,item 131,item name 131
132,,item 132,item name 132
133,1998,item 133,item name 133
134,,item 134,item name 134
135,,item 135,item name 135
136,,item 136,item name 136
137,,item 137,item name 137
138,7803,item 138,item name 138
139,,item 139,item name 139
140,,item 140,item name 140
141,,item 141,item name 141
142,9543,item 142,item name 142
143,4420,item 143,item name 143
144,21881,item 144,item name 144
145,,item 145,item name 145
146,,item 146,item name 146
147,,item 147,item name 147
148,,item 148,item name 148
149,22589,item 149,item name 149
150,,item 150,item name 150
151,21196,item 151,item name 151
152,24984,item 152,item name 152
153,,item 153,item name 153
154,18623,item 154,item name 154
155,,item 155,item name 155
156,3359,item 156,item name 156
157,23506,item 157,item name 157
158,,item 158,item name 158
159,,item 159,item name 159
160,21765,item 160,item name 160
161,12021,item 161,item name 161
162,5969,item 162,item name 162
163,,item 163,item name 163
164,,item 164,item name 164
165,,item 165,item name 165
166,,item 166,item name 166
167,657,item 167,item name 167
168,6485,item 168,item name 168
169,6498,item 169,item name 169
170,,item 170,item name 170
171,15878,item 171,item name 171
172,19927,item 172,item name 172
173,,item 173,item name 173
174,,item 174,item name 174
175,,item 175,item name 175
176,4390,item 176,item name 176
177,5056,item 177,item name 177
178,12874,item 178,item name 178
179,,item 179,item name 179
180,,item 180,item name 180
181,4749,item 181,item name 181
182,,item 182,item name 182
183,14065,item 183,item name 183
184,18453,item 184,item name 184
185,17664,item 185,item name 185
186,,item 186,item name 186
187,,item 187,item name 187
188,,item 188,item name 188
189,13592,item 189,item name 189
190,22442,item 190,item name 190
191,,item 191,item name 191
192,,item 192,item name 192
193,12044,item 193,item name 193
194,7019,item 194,item name 194
195,14139,item 195,item name 195
196,19919,item 196,item name 196
197,1130,item 197,item name 197
198,,item 198,item name 198
199,2632,item 199,item name 199
200,,item 200,item name 200
201,11394,item 201,item name 201
202,,item 202,item name 202
203,,item 203,item name 203
204,,item 204,item name 204
205,22477,item 205,item name 205
206,6482,item 206,item name 206
207,14382,item 207,item name 207
208,6835,item 208,item name 208
209,,item 209,item name 209
210,,item 210,item name 210
211,,item 211,item name 211
212,,item 212,item name 212
213,746,item 213,item name 213
214,,item 214,item name 214
215,,item 215,item name 215
216,,item 216,item name 216
217,,item 217,item name 217
218,19047,item 218,item name 218
219,24858,item 219,item name 219
220,17522,item 220,item name 220
221,,item 221,item name 221
222,11886,item 222,item name 222
223,18155,item 223,item name 223
224,12955,item 224,item name 224
225,17053,item 225,item name 225
226,,item 226,item name 226
227,13564,item 227,item name 227
228,,item 228,item name 228
229,10976,item 229,item name 229
230,,item 230,item name 230
231,17381,item 231,item name 231
232,6584,item 232,item name 232
233,,item 233,item name 233
234,5419,item 234,item name 234
235,,item 235,item name 235
236,,item 236,item name 236
237,5575,item 237,item name 237
238,,item 238,item name 238
239,,item 239,item name 239
240,8094,item 240,item name 240
241,15681,item 241,item name 241
242,13732,item 242,item name 242
243,14050,item 243,item name 243
244,,item 244,item name 244
245,5047,item 245,item name 245
246,14226,item 246,item name 246
247,20570,item 247,item name 247
248,2857,item 248,item name 248
249,,item 249,item name 249
250,7362,item 250,item name 250
251,,item 251,item name 251
252,,item 252,item name 252
253,,item 253,item name 253
254,,item 254,item name 254
255,21473,item 255,item name 255
256,,item 256,item name 256
257,11796,item 257,item name 257
258,6382,item 258,item name 258
259,21680,item 259,item name 259
260,,item 260,item name 260
261,,item 261,item name 261
262,22542,item 262,item name 262
263,,item 263,item name 263
264,,item 264,item name 264
265,,item 265,item name 265
266,,item 266,item name 266
267,,item 267,item name 267
268,,item 268,item name 268
269,,item 269,item name 269
270,1140,item 270,item name 270
271,732,item 271,item name 271
272,,item 272,item name 272
273,11773,item 273,item name 273
274,126,item 274,item name 274
275,,item 275,item name 275
276,2678,item 276,item name 276
277,21275,item 277,item name 277
278,19405,item 278,item name 278
279,22808,item 279,item name 279
